$id,$permissions,$createdAt,$updatedAt,name,qty,tag,price,sectionId
dairy_0,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:20:55.844+00:00,2026-04-06T10:20:55.844+00:00,حليب السعودية 800 غرام,حبة,p,3.99,dairy
dairy_1,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:20:56.171+00:00,2026-04-06T10:20:56.171+00:00,لبنة بلدنا 450 غرام,حبة,p,1.75,dairy
dairy_2,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:20:56.478+00:00,2026-04-06T10:20:56.478+00:00,لبنة جرشية الكيلو ب 4,كيلو,p,1,dairy
dairy_3,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:20:56.794+00:00,2026-04-06T10:20:56.794+00:00,جبنة ساندويشات من حبوب الكيلو 7.5,كيلو,p,3.5,dairy
dairy_4,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:20:57.093+00:00,2026-04-06T10:20:57.093+00:00,قشطة خمس بقرات 125 مل,حبة,p,0.37,dairy
dairy_5,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:20:57.410+00:00,2026-04-06T10:20:57.410+00:00,قشطة kdd 250 ml,حبة,p,0.59,dairy
dairy_6,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:20:57.710+00:00,2026-04-06T10:20:57.710+00:00,قشطة افكو 125 مل,حبة,p,0.35,dairy
dairy_7,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:20:58.012+00:00,2026-04-06T10:20:58.012+00:00,زبدة لورباك 100 غرام,حبة,s,1,dairy
dairy_8,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:20:58.323+00:00,2026-04-06T10:20:58.323+00:00,زبدة المراعي 100 غرام,حبة,s,0.9,dairy
dairy_9,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:20:58.648+00:00,2026-04-06T10:20:58.648+00:00,جبنة مثلثات المراعي,2 علبة,s,0.7,dairy
dairy_10,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:20:58.934+00:00,2026-04-06T10:20:58.934+00:00,جبنة مثلثات تانو,حبة,s,0.5,dairy
dairy_11,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:20:59.244+00:00,2026-04-06T10:20:59.244+00:00,جبنة صفراء حمودة 450 غرام,حبة,s,2.5,dairy
dairy_12,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:20:59.540+00:00,2026-04-06T10:20:59.540+00:00,جبنة سائلة لاكريما صغيرة,1 علبة,s,1.19,dairy
dairy_13,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:20:59.834+00:00,2026-04-06T10:20:59.834+00:00,جبنة سائلة لاكريما عرض,حبة,s,4.99,dairy
dairy_14,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:00.116+00:00,2026-04-06T10:21:00.116+00:00,جبنة شرائح المراعي,حبة,s,1.27,dairy
dairy_15,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:00.419+00:00,2026-04-06T10:21:00.419+00:00,جبنة فيتا كبير,حبة,s,0.75,dairy
dairy_16,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:00.716+00:00,2026-04-06T10:21:00.716+00:00,جبنة فيتا صغير,حبة,s,0.33,dairy
dairy_17,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:01.013+00:00,2026-04-06T10:21:01.013+00:00,جبنة كيري,حبة,s,0.9,dairy
dairy_18,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:01.289+00:00,2026-04-06T10:21:01.289+00:00,لبن سائل المراعي 2 لتر,لتر,s,2.25,dairy
veg_0,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:01.615+00:00,2026-04-06T10:21:01.615+00:00,بندورة (طماطم),كيلو,p,0.89,veg
veg_1,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:01.924+00:00,2026-04-06T10:21:01.924+00:00,خيار,كيلو,p,0.69,veg
veg_2,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:02.202+00:00,2026-04-06T10:21:02.202+00:00,جزر,كيلو,p,0.89,veg
veg_3,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:02.488+00:00,2026-04-06T10:21:02.488+00:00,بصل,كيلو,p,0.59,veg
veg_4,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:02.789+00:00,2026-04-06T10:21:02.789+00:00,بطاطا,كيلو,p,0.69,veg
veg_5,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:03.108+00:00,2026-04-06T10:21:03.108+00:00,تفاح,كيلو,p,1.49,veg
veg_6,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:03.407+00:00,2026-04-06T10:21:03.407+00:00,موز,كيلو,p,1.49,veg
veg_7,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:03.696+00:00,2026-04-06T10:21:03.696+00:00,فليفلة صفراء / حمراء,كيلو,s,0.99,veg
veg_8,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:04.018+00:00,2026-04-06T10:21:04.018+00:00,لوز اخضر,كيلو,s,3,veg
meat_0,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:04.338+00:00,2026-04-06T10:21:04.338+00:00,دجاج تمام,كيلو,p,2.49,meat
